graphe_run,metrique,modele_vue2,longueur_predit,true_hits,nombre_noeud_touve,f1_score,mean,Truehits,Noeud_predit
51,cosinus,1,34,20,13,0.48148,0.46951,"{1: {960, 770, 517, 134, 583, 42, 714, 237, 144, 17, 50, 208, 273, 245, 22, 215, 880, 89, 442, 62}}","{384, 513, 770, 132, 517, 144, 17, 272, 273, 156, 157, 673, 930, 675, 37, 38, 42, 50, 62, 447, 448, 65, 705, 68, 583, 714, 591, 208, 222, 237, 113, 245, 759, 126}"
52,cosinus,1,37,20,12,0.42105,0.46858,"{1: {96, 34, 58, 229, 357, 709, 574, 137, 298, 44, 177, 209, 149, 24, 25, 56, 315, 60, 572, 415}}","{390, 137, 524, 654, 913, 23, 24, 25, 408, 799, 34, 298, 44, 49, 183, 56, 440, 314, 567, 709, 713, 77, 209, 89, 988, 478, 375, 96, 995, 229, 357, 107, 754, 119, 248, 633, 511}"
53,cosinus,1,33,20,12,0.45283,0.46828,"{1: {96, 737, 66, 98, 482, 613, 7, 391, 841, 718, 177, 306, 370, 371, 185, 122, 158, 189, 30, 159}}","{385, 7, 391, 650, 529, 146, 21, 22, 281, 285, 30, 159, 435, 185, 58, 571, 67, 198, 841, 718, 207, 727, 222, 96, 736, 98, 482, 737, 237, 370, 888, 252, 509}"
54,cosinus,1,25,20,13,0.57778,0.47031,"{1: {321, 163, 68, 325, 841, 106, 842, 14, 49, 337, 19, 53, 22, 23, 87, 278, 854, 27, 445, 734}}","{640, 641, 138, 14, 19, 22, 278, 163, 939, 49, 834, 68, 841, 842, 462, 207, 337, 854, 87, 347, 605, 227, 106, 107, 238}"
55,cosinus,1,40,20,13,0.43333,0.46964,"{1: {65, 225, 325, 542, 136, 744, 140, 716, 49, 82, 177, 276, 404, 952, 408, 569, 507, 92, 413, 446}}","{263, 8, 11, 139, 140, 783, 530, 404, 916, 279, 23, 408, 663, 413, 286, 31, 546, 164, 302, 177, 435, 311, 952, 190, 446, 192, 707, 709, 715, 716, 846, 82, 728, 92, 225, 867, 102, 744, 116, 507}"
56,cosinus,1,23,20,13,0.60465,0.47205,"{1: {225, 2, 513, 356, 453, 997, 775, 998, 267, 748, 206, 15, 239, 188, 562, 20, 148, 724, 23, 92}}","{0, 513, 2, 137, 267, 142, 20, 148, 23, 685, 568, 58, 187, 453, 74, 206, 467, 724, 92, 356, 997, 998, 619}"
57,cosinus,1,34,20,11,0.40741,0.47091,"{1: {67, 68, 73, 297, 489, 76, 508, 727, 143, 241, 188, 20, 180, 406, 630, 24, 602, 635, 124, 30}}","{130, 899, 143, 146, 19, 21, 30, 289, 35, 551, 40, 171, 556, 45, 303, 65, 705, 67, 68, 76, 591, 853, 727, 602, 735, 997, 361, 508, 496, 241, 630, 633, 124, 127}"
58,cosinus,1,37,20,12,0.42105,0.47005,"{1: {1, 129, 68, 422, 264, 10, 75, 364, 587, 651, 207, 527, 145, 50, 19, 746, 951, 123, 156, 763}}","{1, 130, 382, 10, 527, 24, 666, 796, 546, 422, 552, 45, 50, 51, 53, 951, 68, 331, 587, 466, 981, 221, 734, 97, 227, 100, 361, 746, 123, 108, 364, 365, 114, 116, 251, 254, 763}"
59,cosinus,1,30,20,13,0.52000,0.47090,"{1: {96, 1, 322, 738, 739, 7, 137, 10, 169, 271, 50, 147, 20, 822, 87, 218, 188, 93, 30, 63}}","{1, 4, 10, 13, 271, 20, 157, 30, 674, 675, 169, 44, 429, 945, 50, 188, 322, 706, 325, 582, 73, 87, 218, 93, 738, 100, 231, 744, 881, 115}"
60,cosinus,1,29,20,12,0.48980,0.47122,"{1: {33, 66, 193, 194, 133, 865, 168, 618, 237, 495, 112, 177, 146, 339, 244, 181, 721, 945, 982, 94}}","{130, 4, 651, 146, 403, 33, 168, 296, 47, 175, 945, 181, 693, 187, 193, 194, 196, 80, 339, 86, 92, 860, 741, 231, 618, 237, 495, 244, 886}"
61,cosinus,1,30,20,12,0.48000,0.47136,"{1: {832, 993, 67, 227, 198, 135, 8, 105, 394, 43, 621, 495, 144, 17, 208, 496, 593, 689, 54, 123}}","{135, 8, 144, 281, 26, 925, 672, 43, 46, 689, 51, 307, 53, 54, 311, 832, 960, 67, 198, 71, 970, 593, 727, 604, 990, 105, 107, 496, 885, 255}"
62,cosinus,1,19,20,11,0.56410,0.47286,"{1: {674, 163, 291, 5, 553, 298, 107, 587, 109, 906, 969, 400, 752, 883, 602, 214, 406, 344, 26, 95}}","{704, 674, 163, 291, 5, 198, 344, 423, 803, 298, 587, 969, 15, 400, 824, 947, 214, 406, 152}"
63,cosinus,1,29,20,14,0.57143,0.47442,"{1: {194, 3, 644, 37, 998, 504, 75, 491, 397, 686, 719, 782, 209, 725, 279, 56, 409, 539, 253, 31}}","{256, 265, 782, 150, 279, 409, 31, 290, 291, 37, 38, 686, 56, 188, 194, 67, 195, 72, 75, 78, 719, 341, 725, 353, 98, 998, 361, 491, 504}"
64,cosinus,1,30,20,9,0.36000,0.47263,"{1: {256, 1, 288, 126, 36, 326, 360, 138, 587, 204, 843, 366, 48, 17, 50, 436, 117, 58, 27, 62}}","{1, 258, 134, 10, 781, 784, 17, 793, 414, 288, 290, 36, 427, 49, 436, 58, 326, 455, 592, 342, 602, 475, 222, 94, 614, 360, 616, 109, 366, 507}"
65,cosinus,1,35,20,18,0.65455,0.47543,"{1: {960, 33, 98, 259, 354, 325, 546, 710, 264, 810, 13, 271, 689, 531, 116, 246, 278, 602, 892, 637}}","{2, 259, 261, 902, 264, 138, 13, 271, 17, 531, 278, 24, 33, 546, 163, 169, 810, 57, 960, 325, 710, 716, 467, 85, 857, 602, 225, 98, 226, 354, 874, 116, 246, 248, 637}"
